protocol_type,service,flag,src_bytes,dst_bytes,hot,count,srv_count,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_serror_rate,class
icmp,20,2,491,0,0,2,2,0,150,25,0.17,0.03,0.17,0,normal
udp,45,2,146,0,0,13,1,0.15,255,1,0,0.6,0.88,0,normal
icmp,50,4,0,0,0,123,6,0.07,255,26,0.1,0.05,0,1,anomaly
icmp,25,2,232,8153,0,5,5,0,30,255,1,0,0.03,0.03,normal
icmp,25,2,199,420,0,30,32,0,255,255,1,0,0,0,normal
icmp,50,1,0,0,0,121,19,0.06,255,19,0.07,0.07,0,0,anomaly
icmp,50,4,0,0,0,166,9,0.06,255,9,0.04,0.05,0,1,anomaly
icmp,50,4,0,0,0,117,16,0.06,255,15,0.06,0.07,0,1,anomaly
icmp,52,4,0,0,0,270,23,0.05,255,23,0.09,0.05,0,1,anomaly
icmp,50,4,0,0,0,133,8,0.06,255,13,0.05,0.06,0,1,anomaly
icmp,50,1,0,0,0,205,12,0.06,255,12,0.05,0.07,0,0,anomaly
icmp,50,4,0,0,0,199,3,0.06,255,13,0.05,0.07,0,1,anomaly
icmp,25,2,287,2251,0,3,7,0,8,219,1,0,0.12,0,normal
icmp,20,2,334,0,0,2,2,0,2,20,1,0,1,0,anomaly
icmp,37,4,0,0,0,233,1,0.06,255,1,0,0.07,0,1,anomaly
icmp,39,4,0,0,0,96,16,0.05,255,2,0.01,0.06,0,1,anomaly
icmp,25,2,300,13788,0,8,9,0,91,255,1,0,0.01,0,normal
tcp,15,2,18,0,0,1,1,0,1,16,1,0,1,0,anomaly
icmp,25,2,233,616,0,3,3,0,66,255,1,0,0.02,0,normal
icmp,25,2,343,1178,0,9,10,0,157,255,1,0,0.01,0,normal
icmp,36,4,0,0,0,223,23,0.05,255,23,0.09,0.05,0,1,anomaly
icmp,50,4,0,0,0,280,17,0.05,238,17,0.07,0.06,0,0.99,anomaly
icmp,25,2,253,11905,0,8,10,0,87,255,1,0,0.01,0,normal
udp,45,2,147,105,0,1,1,0,255,1,0,0.85,1,0,normal
icmp,36,4,0,0,0,248,2,0.06,255,2,0.01,0.06,0,1,anomaly
icmp,61,2,437,14421,0,1,1,0,255,25,0.1,0.05,0,0.53,normal
icmp,50,4,0,0,0,279,7,0.06,255,13,0.05,0.07,0,1,anomaly
icmp,25,2,227,6588,0,5,22,0,43,255,1,0,0.02,0,normal
icmp,25,2,215,10499,0,14,14,0,255,255,1,0,0,0,normal
icmp,25,2,241,1400,0,33,33,0,255,255,1,0,0,0,normal
tcp,15,2,8,0,0,1,12,0,1,53,1,0,1,0,anomaly
icmp,19,4,0,0,0,57,16,0.07,255,59,0.23,0.04,0.01,1,anomaly
icmp,25,2,303,555,0,9,9,0,9,255,1,0,0.11,0,normal
